subid	session-id	stimulus-sequence	flanker-sequence	inscapes-stimuli	movie-stimuli
0031130	2	Movie-Flanker-Rest-Inscapes	001	Inscapes_01.mp4	Matrix_10m_fs.mp4
0031130	3	Flanker-Inscapes-Movie-Rest	002	Inscapes_02.mp4	AFewGoodMen_10m_fs.mp4
0031130	4	Rest-Movie-Inscapes-Flanker	003	Inscapes_03.mp4	WallE_10m_fs.mp4
0031130	5	Inscapes-Rest-Flanker-Movie	001	Inscapes_01.mp4	Matrix_10m_fs.mp4
0031130	6	Flanker-Inscapes-Rest-Movie	002	Inscapes_02.mp4	AFewGoodMen_10m_fs.mp4
0031130	7	Inscapes-Movie-Flanker-Rest	003	Inscapes_03.mp4	WallE_10m_fs.mp4
0031130	9	Rest-Flanker-Movie-Inscapes	001	Inscapes_01.mp4	Matrix_10m_fs.mp4
0031130	10	Movie-Rest-Inscapes-Flanker	002	Inscapes_02.mp4	AFewGoodMen_10m_fs.mp4
0031130	11	Inscapes-Movie-Rest-Flanker	003	Inscapes_03.mp4	WallE_10m_fs.mp4
0031130	12	Movie-Flanker-Inscapes-Rest	001	Inscapes_01.mp4	Matrix_10m_fs.mp4
0031130	13	Rest-Inscapes-Flanker-Movie	002	Inscapes_02.mp4	AFewGoodMen_10m_fs.mp4
0031130	14	Flanker-Rest-Movie-Inscapes	003	Inscapes_03.mp4	WallE_10m_fs.mp4
